drug_trial_id,drug_name,drug_manufacturer,trial_phase,trial_results,trial_start_date,trial_end_date,trial_sample_size,dosage_mg,trial_location,missing_per_row
T1000,Metformin,Pfizer,Phase II,Ongoing,2022-09-30,2023-04-13,4084.0,376.55,Nairobi,0
T1001,Paracetamol,Johnson & Johnson,Phase III,Success,2024-02-01,2024-07-13,3301.0,414.65,Kisumu,0
T1002,Aspirin,Novartis,Phase II,Success,2022-05-10,2022-10-23,1221.0,,Kisumu,1
T1003,Paracetamol,Johnson & Johnson,Phase I,Success,2021-11-19,2021-11-23,3312.0,293.29,Nairobi,0
T1004,Aspirin,Roche,Phase I,,2021-11-11,2022-04-18,295.0,255.3,Nairobi,1
T1005,Metformin,Johnson & Johnson,Phase I,Ongoing,2021-10-18,2022-03-01,3362.0,181.19,Nairobi,0
T1006,Metformin,Johnson & Johnson,Phase I,Ongoing,2022-12-01,2022-02-06,4941.0,343.47,Eldoret,0
T1007,Unknown,Novartis,Phase III,Failure,2021-12-01,2022-05-03,4946.0,424.32,Mombasa,1
T1008,Paracetamol,Pfizer,Phase II,Ongoing,2022-08-10,2022-10-05,4024.0,380.27,Eldoret,0
T1009,Metformin,Pfizer,,Ongoing,2020-12-22,2021-01-21,2685.0,484.13,Mombasa,1
T1010,Metformin,Pfizer,Phase III,Ongoing,2020-04-14,2020-07-05,4675.0,108.61,Nairobi,0
T1011,Metformin,Novartis,Phase III,Success,2023-01-06,2023-08-11,4185.0,304.46,Eldoret,0
T1012,Metformin,Pfizer,Phase III,Success,2022-02-04,2022-03-04,3042.0,420.41,Kisumu,0
T1013,Ibuprofen,Pfizer,Phase I,Success,2023-02-01,2023-07-13,4367.0,188.28,Unknown,1
T1014,Aspirin,Novartis,Phase III,Failure,2021-06-06,2021-08-09,2250.0,413.75,Mombasa,0
T1015,Paracetamol,Pfizer,Phase II,,2022-07-08,2022-11-30,2300.0,463.92,Mombasa,1
T1016,Metformin,Johnson & Johnson,Phase III,Ongoing,2022-08-16,2022-09-13,1889.0,477.68,Mombasa,0
T1017,Unknown,Roche,Phase II,,2023-12-10,2024-04-22,1926.0,107.18,Kisumu,2
T1018,Aspirin,Novartis,,Success,,2022-07-13,3334.0,353.7,Kisumu,2
T1019,Ibuprofen,Novartis,Phase II,Success,2021-01-17,2021-02-27,,,Mombasa,2
T1020,Metformin,Johnson & Johnson,,Failure,2023-12-02,2023-04-29,2361.0,495.93,Kisumu,1
T1021,Metformin,Novartis,Phase I,Ongoing,2020-03-20,2020-06-25,2412.0,180.03,Eldoret,0
T1022,Aspirin,Johnson & Johnson,Phase I,Success,2020-04-17,2020-05-16,4569.0,178.88,Kisumu,0
T1023,Metformin,Johnson & Johnson,,,2020-01-06,2020-04-20,2949.0,73.12,Mombasa,2
T1024,Paracetamol,Novartis,Phase II,Failure,2023-07-08,2023-07-27,1035.0,269.7,Mombasa,0
T1025,Metformin,Pfizer,Phase III,Ongoing,2023-05-15,2023-07-31,2191.0,409.64,Kisumu,0
T1026,Aspirin,Johnson & Johnson,Phase III,Failure,2021-03-24,2021-07-31,2308.0,185.94,Kisumu,0
T1027,Ibuprofen,Roche,Phase II,Ongoing,2021-12-15,2022-01-21,678.0,105.58,Eldoret,0
